,nr,ref,refnr
1,nr12,"Non-Final Office Action received for U.S. Appl. No. 15/297,473, dated Dec. 13, 2017, 20 pages. cited by applicant
.",2
2,nr12,"Geofence, Push & iBeacon--Mobile Marketing Made Easy, The Mobile Marketing Platform, 2014, 5 Pages. Retrieved on Apr. 3, 2014 at http://moball.tv/?gclid=CJu4582uxL0CFUVp7AodWS0AQg. cited by applicant
.",3
3,nr12,"Location Labs Announces General Availability of its Mobile Geofencing Platform and Launches Location-Based Spatial Data Storage, Press Release, Feb. 15, 2011, Location Labs, 3 Pages. Retrieved on Apr. 3, 2014 at
http://www.locationlabs.com/location-labs-announces-general-availability. cited by applicant
.",4
4,nr12,"Social/Local/Mobile/Commerce, Social Networking and Mobile Apps--Industry Solutions, Maponics LLC, 2 Pages. Retrieved on Apr. 3, 2014 at http://www.maponics.com/solutions/social-local-mobile-commercepi_ad
id=19626183067&gclid=CNaYx6mvxL0CFbTm7Aoddm0AZA. cited by applicant
.",5
5,nr12,"Geo-Fencing, Notificare, 2013, 2 Pages. Retrieved on Apr. 3, 2014 at http://notificare/location-based-messaging/geo-fencing/?gclid=Clvgp_2vxL0- CFRQV7AodvA8AIQ. cited by applicant
.",6
6,nr12,"Venkatesh, ""6 Geofencing Tips for Retailers to Deliver Targeted Advertising"", Luxury Daily, Oct. 15, 2013, Mobile Commerce Daily, 2 Pages. Retrieved on Apr. 3, 2014 at http://www.luxurydaily.com/6-tips-for-geofencing-for-retailers-to-deliver-
-targeted-advertising/. cited by applicant
.",7
7,nr12,"Geofencing Messages Made Easy, 2014, PLOT Projects, 3 Pages. Retrieved on Apr. 3, 2014 at http://www.plotprojects.com/geofencing-2m/?utm_expid=66248451-1.stYXbv4eS- di8UdkSjjTzFQ.1&gclid=CMqrsMOyxL0CFUNo7Aodtl8A8g. cited by applicant.",8
0,nr8,"Extended European Search Report dated Mar. 14, 2018 for European Patent Application 15846982.5. cited by applicant
.",1
1,nr8,"""Discussion on small cell discovery signal."" Intel Corporation. Agenda Item: 7.2.4.2.2. 3GPP TSG-RAN WG1 #76bis. Shenzhen, China Mar. 31-Apr. 4, 2014. R1-141156. 7 pages. cited by applicant
.",2
2,nr8,"""Measurements for small cells in UMTS."" Source: Ericsson, ST-Ericsson. Agenda Item: 10.2.3 Mass small cell deployment. 3GPP TSG RAN WG2 #83. Barcelona, Spain. Aug. 19-23, 2013. R2-132707. 8 pages. cited by applicant
.",3
3,nr8,"""Views on discovery signal design for Rel-12 small cell enhancement."" Source: NTT DOCOMO. Agenda Item: 7.2.4.2.2. 3GPP TSG RAN WG1 Meeting #76, Prague, Czech Republic, Feb. 10-14, 2013, R1-140622. 9 pages. cited by applicant
.",4
4,nr8,"""Discussion on Small Cell handover,"" Source: Institute for Information Industry (III). Agenda Item: 7.3.5.3. 3GPP TSG RAN WG1 Meeting #72, St. Julian's, Malta, Jan. 28-Feb. 1, 2013. R1-130358. 4 pages. cited by applicant
.",5
5,nr8,"""UL Transmit Beamforming for UL MIMO Enhancement,"" Source: Alcatel-Lucent Shanghai Bell, Alcatel-Lucent. Agenda Item: 6.7.3. 3GPP TSG RAN WG1 Meeting #66. Athens, Greece, Aug. 22-26, 2011. R1-112422, 7 pages. cited by applicant
.",6
6,nr8,"English translation of Japanese Office Action for Japanese Application JP2017-512032 dated Mar. 27, 2018. cited by applicant
.",7
7,nr8,"""The usuage of RAN assistance parameters during handover."" 3GPP TSG-RAN WG #87. Dresden, Germany. Aug. 18-22, 2014. R2-143475, Agenda item: 5.1. Source: ITRI. 6 pages. cited by applicant
.",8
8,nr8,"""Handling of the RAN assistance information."" 3GPP TSG-RAN Meeting #87. Dresden, Germany. Aug. 18-22, 2014. R2-143723. Agenda Item: 5.1. Source: LG Electronics. 5 pages. cited by applicant
.",9
9,nr8,"International Search Report and Written Opinion of the International Searching Authority, International Application No. PCT/2015/037361, dated Oct. 20, 2015. cited by applicant.",10
